Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Hydrogen 2 Magnum (H2M),217,Netherlands,"Nuon (Vattenfall sub.), Equinor, Gasunie",Capture,2017,,2025,,Planned,,1.3,1.3,Hydrogen or ammonia,Dedicated storage,Northern Lights,Europe
Hydrogen Energy Supply Chain (HESC) Project Full scale (CarbonNET),218,Australia,"Kawasaki heavy industries, J-POWER, Iwatani Corporation, Marubeni Corporation, AGL, Sumitomo Corporation",Capture,2018,,2030,,Planned,1,1.8 - 4.39,4.39,Hydrogen or ammonia,Dedicated storage,CarbonNET,Australia and New Zealand
Hydrogen to Humber (H2H) Saltend phase 1,220,United Kingdom,"Equinor, SSE Thermal, Linde (FEED/EPC), BOC (Operation and maintenance), Jonhson Matthey (FEED)",Capture,2020,2024,2028,,Planned,1,0.89,0.89,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe
Hydrogen to Humber (H2H) Saltend phase 2,818,United Kingdom,"Equinor, SSE Thermal, Linde (FEED/EPC), BOC (Operation and maintenance), Jonhson Matthey (FEED)",Capture,2020,,,,Planned,2,1,1,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe
HyNet Hydrogen Production Project (HPP) Plant 1 (Hynet phase 1),379,United Kingdom,"EET Hydrogen (former Vertex Hydrogen, joint venture Essar Oil 90% and progressive energy 10%), Johnson Matthey (capture tech)",Capture,2019,2024,2027,,Planned,1,0.65,0.65,Hydrogen or ammonia,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
HyNet Hydrogen Production Project (HPP) Plant 2 (Hynet phase 2),916,United Kingdom,"EET Hydrogen (former Vertex Hydrogen, joint venture Essar Oil 90% and progressive energy 10%), KBR (capture tech and FEED)",Capture,2023,,,,Planned,2,1.9,1.9,Hydrogen or ammonia,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Hynet North West (Liverpool Bay CO2 storage) phase 1,265,United Kingdom,"Eni, Halliburton (Well completions)",T&S,2020,2024,2027,,Planned,1,4.5,4.5,T&S,Dedicated storage,Hynet North West (Liverpool Bay CO2 storage),Europe
Hynet North West (Liverpool Bay CO2 storage) phase 2,266,United Kingdom,"Eni, Halliburton (Well completions)",T&S,2020,,2030,,Planned,2,5.5,5.5,T&S,Dedicated storage,Hynet North West (Liverpool Bay CO2 storage),Europe
Hynet Northwest phase 3,446,United Kingdom,Hynet consortium,Capture,2019,,2030,,Planned,,8.1,8.1,Hydrogen or ammonia,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Hynovera,1047,France,"HY2GEN, Gazel Energie",CCU,2023,2024,2028,,Planned,,,0.123,Power and heat,Use,,Europe
Hynovi project (Vicat Montalieu plant),561,France,Vicat,CCU,2021,,2026,,Planned,,0.5,0.5,Cement,Use,,Europe
Hyskies Vattenfall CHP Lanzatech,564,Sweden,"Vattenfall, SAS, Shell, Lanzatech",CCU,2021,,2028,,Planned,,0.207,0.207,Power and heat,Use,,Europe
Ifestos Carbon Capture (Kamati plant),1141,Greece,Titan Group,Capture,2023,,2030,,Planned,,1.9,1.9,Cement,Dedicated storage,,Europe
Illinois Basin Decatur Project (IL),124,United States,"ADM, Midwest Geological Sequestration Consortium",Full chain,2009,2011,2011,2011,Suspended/cancelled/decommissioned,,0.33,0.33,Biofuels,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
Illinois Basin West CarbonSAFE (IL),796,United States,University of Illinois,Storage,2023,,,,Planned,,1.67,1.67,Storage,Dedicated storage,Illinois Basin West CarbonSAFE (IL),North America
Illinois Clean Fuels Project (IL),222,United States,"Illinois clean fuels,",Capture,2013,2024,2026,,Planned,,8.1 - 9.7,9.7,Biofuels,Dedicated storage,,North America
Illinois Industrial Carbon Capture and Storage (IL),223,United States,ADM,Full chain,2009,2011,2017,,Operational,1,0.5 - 1.1,0.5,Biofuels,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
In Salah,415,Algeria,"bp, Sonatrach, Equinor",Full chain,,,2004,2004,Suspended/cancelled/decommissioned,,0.5,0.5,Natural gas processing/LNG,Dedicated storage,,Africa
Ince Bioenergy Carbon Capture and Storage (InBECCS) scaleup,545,United Kingdom,"Bioenergy Infrastructure Group (Evero), Peel NRE, Mitsubishi HI",Capture,2021,,2029,,Planned,1,0.25,0.25,Power and heat,Dedicated storage,Liverpool Bay CO2 storage,Europe
Indian Oil Corporation Koyali refinery,224,India,"Indian Oil Corporation (IOCL), Dastur, Air Liquide and BEG for FEED",Full chain,2021,,2025,,Planned,,0.7,0.7,Other fuel transformation,Mixed,,Other Asia Pacific
Industrial Carbon Capture (ICC) Stanlow,589,United Kingdom,"Essar Energy Transition (Essar Oil), Kent (pre-FEED), MHI (FEED), Topsoe (tech partner)",Capture,2019,,2028,,Planned,,0.86,0.86,Other fuel transformation,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Ineos Antwerp CCS,225,Belgium,INEOS,Capture,2021,2024,2030,,Planned,,,,Chemicals,Unknown/unspecified,,Europe
INEOS Grangemouth refinery and hydrogen production,226,United Kingdom,"INEOS, Petroineos",Capture,2021,,2030,,Planned,,1,1,Chemicals,Dedicated storage,Acorn CCS,Europe
Innovative Integration of Carbon Capture for Clean Power (ALB),604,Canada,Heartland Generation Ltd,Capture,2022,,,,Planned,,,,Power and heat,Unknown/unspecified,Battle River Carbon Hub (ALB),North America
"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 1",616,United States,"Rwe, Lotte Chemical Corporation, Mitsubishi Corporation (JSA)",Capture,2023,,2030,,Planned,1,,,Hydrogen or ammonia,Unknown/unspecified,,North America
"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 2",617,United States,"Rwe, Lotte Chemical Corporation, Mitsubishi Corporation (JSA)",Capture,2023,,,,Planned,2,10,10,Hydrogen or ammonia,Unknown/unspecified,,North America
Itochu/Petronas ammonia project (ALB),229,Canada,"Itochu Corporation, Petronas Energy Canada Ltd, and Inter Pipeline Ltd.",Full chain,2021,,2027,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,North America
James M  Barry Electric Generating Plant CCUS (AL),231,United States,"Southern Company Services, Linde Gas North America LLC, GE Gas Power",Capture,2022,,2030,,Planned,,0.5,0.5,Power and heat,Unknown/unspecified,,North America
Javelina Refinery CCS (TX),232,United States,"Port of Corpus Christi Authority, Howard Midstream",Capture,2021,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Jiling Petrochemical CCUS (Nanjing refinery) (Jiangsu) phase 1,643,People's Republic of China,"Sinopec (Nanjing refinery), Jiling Petrochemical, Jiangsu oilfield",Full chain,2021,2022,2023,,Operational,1,0.1,0.1,Other fuel transformation,EOR,Jiangsu oilfield,Other Asia Pacific
Joint study CCS value chain Japan Malaysia phase 1 (M3 CCS Project),957,Japan-Malaysia,"Japan Petroleum Exploration Co., Ltd. (JAPEX), JGC Holdings Corporation (JGC HD), Kawasaki Kisen Kaisha, Ltd. (“K” LINE), Petronas CCS Ventures",T&S,2022,2025,2028,,Planned,1,2,2,T&S,Dedicated storage,,Other Asia Pacific
Joint study CCS value chain Japan Malaysia phase 2,958,Japan-Malaysia,"Japan Petroleum Exploration Co., Ltd. (JAPEX), JGC Holdings Corporation (JGC HD), Kawasaki Kisen Kaisha, Ltd. (“K” LINE), Petronas CCS Ventures",T&S,2022,,2030,,Planned,2,8,8,T&S,Dedicated storage,,Other Asia Pacific
Joint study CCS value chain Japan Malaysia steel,777,Japan-Malaysia,"Japan Petroleum Exploration Co., Ltd. (JAPEX), JGC Holdings Corporation (JGC HD), Kawasaki Kisen Kaisha, Ltd. (“K” LINE), and JFE Steel Corporation, Petronas",Capture,2022,,,,Planned,,,,Iron and steel,Dedicated storage,,Other Asia Pacific
J-Power Sumitomo joint feasibility clean hydrogen Latrobe Valley (VI),704,Australia,"J-Power, Sumitomo corporation",Full chain,2023,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,Australia and New Zealand
JSA Pertamina Chevron East Kalimantan,948,Indonesia,"Pertamina, Chevron",Storage,2023,,,,Planned,,,,Storage,Unknown/unspecified,,Other Asia Pacific
Jubail CCS Hub agreement (*capture sources under evaluation),601,Saudi Arabia,"Saudi Aramco, SLB, Linde",T&S,2022,,2027,,Planned,,9,9,T&S,Dedicated storage,Jubail CCS hub,Middle East
K+S Potash CCS,1121,Canada,"K+S Potash Canada, Whitecap Resources",Capture,2023,,,,Planned,,,,Chemicals,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),North America
K6 Program- Lumbres cement plant,236,France,"EQIOM, Air Liquide, France Industries, VDZ",Capture,2021,2026,2028,,Planned,,0.81,0.81,Cement,Dedicated storage,,Europe
Kairos@C,237,Belgium,"Air Liquide, BASF",Capture,2021,,2027,,Planned,,1.42,1.42,Chemicals,Dedicated storage,,Europe
Kalundborg refinery project,727,Denmark,"Kalundborg, Aker Carbon Capture ",Capture,2021,,2030,,Planned,,,,Other fuel transformation,Unknown/unspecified,,Europe
Karamay Dunhua methanol plant (Xinjiang),238,People's Republic of China,Dunhua Oil Company,Full chain,,,2015,,Operational,,0.1,0.1,Chemicals,EOR,,Other Asia Pacific
Keadby 3 Carbon Capture Power Station,239,United Kingdom,"SSE Thermal, Equinor, Aker Solutions (FEED), Siemens Energy and Doosan Babcock; Fugro (ground investigation contract)",Capture,2020,,2028,,Planned,,1.5,1.5,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Kemper county CCUS (MS),241,United States,Mississippi Power (Southern Company),Full chain,,2010,2017,2017,Suspended/cancelled/decommissioned,,3,3,Power and heat,EOR,,North America
Kern River Eastridge cogeneration plant San Joaquin Valley (CA),244,United States,"Chevron, Fluor (FEED, tech licensing)",Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,,North America
KeyState Natural Gas Synthesis (ARCH2) (PA),245,United States,KeyState Energy,Full chain,2021,,2026,,Planned,,0.5,0.5,Chemicals,Dedicated storage,,North America
KOdeCO project,658,Croatia,"Holcim Group, Air Liquide",Capture,2023,,2028,,Planned,,0.366,0.366,Cement,Dedicated storage,,Europe
Kotka power (Kotka),1030,Finland,"RenGas, Kotkan Energia",CCU,2021,2024,2026,,Planned,,0.11,0.11,Power and heat,Use,,Europe
Kredsløb Energipark Lisbjerg,1079,Denmark,Kredsløb,Capture,2023,,2030,,Planned,,0.36,0.36,Power and heat,Dedicated storage,,Europe
Kutai Basin CCUS hub,765,Indonesia,Pertamina,Storage,2022,,2030,,Planned,,,,Storage,Dedicated storage,Kutai Basin CCUS hub,Other Asia Pacific
Kutina Petrokemija ammonia (ICORD project?),726,Croatia,"INA, MOL Group",Capture,2021,,2027,,Planned,,0.19,0.19,Chemicals,Unknown/unspecified,Zutica and Ivanic grad EOR extension,Europe
KVA Linth Waste-to-Energy Niederurnen,646,Swizterland,"KVA Linth, VBSA, Capsol (feasibility)",Capture,2020,,2025,,Planned,,0.1,0.1,Power and heat,Unknown/unspecified,,Europe
Kymijärvi power (Lahti),1029,Finland,"RenGas, Lahti Energia",CCU,2021,2024,2026,,Planned,,0.11,0.11,Power and heat,Use,,Europe
L10 CCS,285,Netherlands,"Eni (following acquisition of Neptune Energy), EBN, ExxonMobil, Tenaz Energy",T&S,2020,2025,2028,,Planned,1,5,5,T&S,Dedicated storage,Aramis/L10 CCS,Europe
LA CCS (LA),875,United States,DT Midstream Holdings LLC,Storage,2022,,,,Planned,,1,1,Storage,Unknown/unspecified,,North America
Labarge Shute Creek Gas Processing Plant 1.2 Mtpa expansion (WY),250,United States,ExxonMobil ,Full chain,2021,2022,2025,,Under construction,,1 - 1.2,1,Natural gas processing/LNG,Unknown/unspecified,,North America
Labarge Shute Creek Gas Processing Plant 2010 expansion (WY),251,United States,"ExxonMobil, Fleur de Lis Energy LLC/Renee Acquisition LLC ; Chevron; Devon Energy Denbury",Full chain,2008,2008,2010,,Operational,2,3.5,3.5,Natural gas processing/LNG,EOR,,North America
Labarge Shute Creek Gas Processing Plant original (WY),252,United States,"ExxonMobil, Fleur de Lis Energy LLC/Renee Acquisition LLC ; Chevron; Devon Energy Denbury",Full chain,1984,1984,1986,,Operational,1,3.5,3.5,Natural gas processing/LNG,EOR,,North America
LafargeHolcim Ste Genevieve plant (MO),254,United States,"University of Illinois, Holcim Group, Air Liquide",Capture,2021,,,,Planned,,2.8,2.8,Cement,Dedicated storage,,North America
Lake Charles low carbon ammonia (LA),999,United States,"Proman, Mitsubishi",Capture,2023,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Lake Charles Methanol (LA),255,United States,"Proman, ExxonMobil (formerly Denbury), Fluor",Capture,2009,2024,2027,,Planned,,4 - 4.2,4.2,Chemicals,Mixed,,North America
Lake Charles Power Station Integrated CO2 Capture Project (LA),1130,United States,"Entergy, Talos, DOE Office of Clean Energy Demonstrations",Full chain,2023,,,,Planned,,2.5,2.5,Power and heat,Dedicated storage,,North America
Lamont Carbon Hub (ALB),1122,Canada,"Wolf Midstream, Whitecap Resources",Storage,2023,2024,2024,,Planned,,2 - 3,3,Storage,Dedicated storage,"Alberta Carbon Trunk Line (Transport), Lamont Carbon Hub (Storage)",North America
Leo (MS),866,United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,,2025,,Planned,,5 - 10,10,Storage,Dedicated storage,Denbury NEJD Pipeline (MS-LA)/Leo (MS),North America
LG&E Cane Run NGCC CR7 (KY),551,United States,"LG&E Cane Run, Electric Power Research Institute (FEED), University of Kentucky (tech), DOE (FEED funding)",Capture,2022,,,,Planned,1,1.7,1.7,Power and heat,Unknown/unspecified,,North America
Libra  (LA),839,United States,"Lapis Energy (50% permitting process pre-FID), ExxonMobil (formerly Denbury carbon solutions) (50%; operatorship managing construction)",Storage,2023,,2027,,Planned,,5 - 10,10,Storage,Unknown/unspecified,,North America
Lighthouse Green Fuels,1104,United Kingdom,Alfanar,Capture,2021,,2028,,Planned,,,,Biofuels,Dedicated storage,Northern Endurance Partnership,Europe
Limeco Waste-to-Energy Dietikon,965,Swizterland,"Limeco, Aker CC",Capture,2023,,,,Planned,,,,Power and heat,Unknown/unspecified,,Europe
Lincolnway Energy Nevada biorefinery (IA),260,United States,"Lincolnway Energy, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.22 - 0.26,0.257,Biofuels,Dedicated storage,Midwest carbon express,North America
Linde Clear Lake HyCO Plant (TX),1043,United States,"Linde (CO2 capture on CO production site, CCU tech), Celanese (operator of methanol plant), Fairway methanol",CCU,2022,,2023,,Operational,,0.18,0.18,Chemicals,Use,,North America
Linde hydrogen plant for OCI fertilizer blue ammonia Beaumont (TX),414,United States,"Linde (owns, builds, operates), OCI (H2 demand)",Capture,2022,2023,2025,,Under construction,,1.7,1.7,Hydrogen or ammonia,Dedicated storage,ExxonMobil Vermilion parish storage,North America
Linde-BASF capture SMR plant Covent (LA),696,United States,Praxair,Capture,2020,,,,Planned,,1.361,1.361,Hydrogen or ammonia,Unknown/unspecified,,North America
Linden (IN),868,United States,Vault,Storage,2023,,,,Planned,,,,Storage,Unknown/unspecified,,North America
LIPOR Maia Energy Recovery Plant PtL facility,263,Portugal,"LIPOR (Intermunicipal Waste Management of Greater Porto), P2X Europe and Veolia",CCU,2022,,,,Planned,,0.1,0.1,Power and heat,Use,,Europe
Little Sioux Corn Processors Marcus biorefinery (IA),264,United States,"Little Sioux Corn Processors, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.39 - 0.46,0.458,Biofuels,Dedicated storage,Midwest carbon express,North America
Lloydminster Upgrader,1123,Canada,Cenovus,Capture,2023,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,North America
Lone Star Storage Hub Project (Jasper) (TX),262,United States,"BP carbon solutions, Linde (capture/CO2 supplier)",T&S,2022,,2026,,Planned,,15,15,T&S,Dedicated storage,Lone Star Storage Hub Project (Jasper) (TX),North America
Longford gas plant,571,Australia,ExxonMobil,Capture,2022,,2025,,Planned,,2,2,Natural gas processing/LNG,Dedicated storage,Sea CCS hub,Australia and New Zealand
Longleaf CCS (AL),794,United States,"Tenaska, Southern States Energy Board",Storage,2023,2025,2026,,Planned,,2.6,2.6,Storage,Dedicated storage,Longleaf CCS (AL),North America
Lorain CCS (OH) ,867,United States,Lorain Carbon Zero Solutions,Storage,2021,,,,Planned,,,,Storage,Dedicated storage,,North America
Lost Cabin Gas Plant (WY),267,United States,"Contango Oil & Gas (bought plant in 2021 from Conocophillips), ExxonMobil (formerly Denbury)",Full chain,2010,2011,2013,,Operational,,0.9,0.9,Natural gas processing/LNG,EOR,,North America
Louis Dreyfus Grand Junction biorefinery (IA),268,United States,"Louis Dreyfus Grand Junction, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.29 - 0.34,0.343,Biofuels,Dedicated storage,Midwest carbon express,North America
Louis Dreyfus Norfolk biorefinery (IA),269,United States,"Louis Dreyfus Norfolk, Summit Carbon Solutions",Capture,2021,2024,2024,,Planned,,0.13 - 0.15,0.152,Biofuels,Dedicated storage,Midwest carbon express,North America
Louisiana Green Fuels Project  (LA),270,United States,"Strategic Biofuels LLC, Louisianna Green Fuels, SLB",Full chain,2021,2024,2027,,Planned,,1.36,1.36,Biofuels,Dedicated storage,,North America
Lyse Forus Energigjenvinning Stavanger ,271,Norway,"Lyse, Forus Energi, Aker CC (tech)",Capture,2021,,2024,,Planned,,0.1,0.1,Power and heat,Dedicated storage,,Europe
Magnolia sequestration hub (Allen Parish) (LA),793,United States,Magnolia sequestration hub llc (Oxy low carbon ventures (Occidental)),T&S,2020,,,,Planned,,4,4,T&S,Dedicated storage,Magnolia sequestration hub,North America
Marquis Industrial Complex (IL),662,United States,"Marquis Inc., Gas Liquids Engineering Ltd (FEED)",Full chain,2022,,,,Planned,,1.2,1.2,Biofuels,Dedicated storage,,North America
Maskwa Project (ALB),504,Canada, Kiwetinohk Energy Corp.,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Maskwa Project (ALB),North America
Meadowbrook storage hub (ALB),273,Canada,"Bison Low Carbon Ventures , Enerflex, PrairieSky Royalty, IRC Enterprises, Marubeni Corporation",Storage,2022,,2024,,Planned,,3,3,Storage,Dedicated storage,Meadowbrook storage hub (ALB),North America
Medway CCGT power station,567,United Kingdom,Oilex,Capture,2022,,,,Planned,,,,Power and heat,Dedicated storage,Medway Hub CCS,Europe
Medway Hub CCS,570,United Kingdom,Synergia Energy Ltd (50%) and Wintershall Dea (50%),T&S,2022,2028,2032,,Planned,,6,6,T&S,Dedicated storage,Medway Hub CCS,Europe
MEPAU Mid West CCUS hub,275,Australia,"Mitsui E&P Australia (MEPAU), JOGMEC",Full chain,2021,,2028,,Planned,,,,Hydrogen or ammonia,Dedicated storage,Mid West CCUS hub,Australia and New Zealand
Merritt Electrofuels Project DAC (BC),23,Canada,"Huron Clean Energy , Oxy Low Carbon Ventures, Upper Nicola Band and Carbon Engineering  (Oxy)",CCU,2021,2024,2026,,Planned,,0.25,0.25,DAC,Use,,North America
Metropolitan Area CCS - Nippon steel plant,1135,Japan,"INPEX Corporation, Nippon Steel Corporation, Kanto Natural Gas Development Co., Ltd.",Capture,2023,,2030,,Planned,,,,Iron and steel,Dedicated storage,Metropolitan Area CCS,Other Asia Pacific
Metropolitan Area CCS (capture sources under evaluation),810,Japan,"INPEX Corporation, Nippon Steel Corporation, Kanto Natural Gas Development Co., Ltd.",T&S,2023,,2030,,Planned,,1,1,T&S,Dedicated storage,Metropolitan Area CCS,Other Asia Pacific
Mid West Clean Energy Project,276,Australia,"Pilot Energy, Warrego Energy, APA group, KNCC (Transportation
",Capture,2021,,2025,,Planned,,,,Hydrogen or ammonia,Dedicated storage,Cliff Head CCS Project,Australia and New Zealand
Midland Basin project: Dusek CCS (TX),835,United States,"Milestone carbon (Milestone Envrionmental services), Texas Pacific Land Corporation ",Storage,2023,,2025,,Planned,,,,Storage,Dedicated storage,Midland Basin project (TX),North America
Midwest AgEnergy Blue Flint ethanol (ND),277,United States,"Blue Flint Sequester Company LLC, Harvestone Low Carbon Partners, Ag Energy Group LLC ",Full chain,2020,,2023,,Operational,,0.2,0.2,Biofuels,Dedicated storage,,North America
"Midwest Carbon Express (NE, SD, ND, MI, IA)",278,United States,Summit carbon solutions (SK E&S 10%),T&S,2021,2024,2025,,Planned,,12,12,T&S,Dedicated storage,Midwest carbon express,North America
Mikawa Power Plant BECCS Fukuoka Prefecture,279,Japan,"SIGMA Power Ariake (Toshiba), ESS",Capture,2016,2017,2020,,Operational,,0.18,0.18,Power and heat,Unknown/unspecified,,Other Asia Pacific
Mineral carbonation international Carbon Plant demonstrator,631,Australia,Mineral Carbonation International,CCU,2021,2023,2024,,Under construction,,0.3,0.3,Chemicals,Use,,Australia and New Zealand
Minerva (LA),873,United States,Gulf Coast Sequestration ,Storage,2022,,,,Planned,,,,Storage,Unknown/unspecified,Gulf Coast Sequestration Hub(LA),North America
Minnedosa Ethanol Plant (MB),1124,Canada,Cenovus,Capture,2022,,,,Planned,,,,Biofuels,Unknown/unspecified,,North America
Mission Zero Technologies pilot 2,736,Oman,Mission Zero Technologies,Capture,,,2024,,Planned,,0 - 0,0.002,DAC,Dedicated storage,,Middle East
Mitchell CarbonSAFE (IN),715,United States,"Illinois State Geological Survey, Heidelberg Materials, Projeo, IGS, University of Illinois",Storage,2023,,,,Planned,,1.667,1.667,Storage,Dedicated storage,Mitchell CarbonSAFE (IL),North America
MOL Szank field CO2 EOR,669,Hungary,MOL group,Full chain,,,1992,,Operational,,0.16,0.16,Natural gas processing/LNG,EOR,,Europe
Monkey Island carbon storage project (LA),978,United States,Advanced Resources International Inc.,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Monkey Island carbon storage project (LA),North America
Montauk Energy biogas plants (TX),1085,United States,"Montauk Renewables, EE North America (European Energy)",CCU,2023,,,,Planned,,0.14,0.14,Biofuels,Use,,North America
Montezuma NorCal Carbon Hub (CA),901,United States,"Montezuma Carbon LLC, University of Berkeley, Lawrence Berkeley National Lab",T&S,2023,,,,Planned,,1,1,T&S,Dedicated storage,,North America
Moomba Carbon Capture and Storage,358,Australia,"Santos, Beach Energy",Full chain,2019,2021,2024,,Under construction,1,1.7,1.7,Natural gas processing/LNG,Dedicated storage,Moomba CCS storage hub,Australia and New Zealand
Moomba CCS storage hub (phase 2),359,Australia-Japan,"Santos, JX Nippon Oil & Gas Exploration Corporation, ENEOS",T&S,2023,,2030,,Planned,1,3.3,3.3,T&S,Dedicated storage,Moomba CCS storage hub,Australia and New Zealand
Moomba CCS storage hub (phase 3),966,Australia-Japan,"Santos,  JX Nippon Oil & Gas Exploration Corporation, ENEOS",T&S,2023,,2035,,Planned,2,5,5,T&S,Dedicated storage,Moomba CCS storage hub,Australia and New Zealand
Moomba CCS storage hub (phase 4),967,Australia-Japan,"Santos,  JX Nippon Oil & Gas Exploration Corporation, ENEOS",T&S,2023,,2040,,Planned,3,10,10,T&S,Dedicated storage,Moomba CCS storage hub,Australia and New Zealand
Moraine (GE) Power Generation (ALB),1125,Canada,Moraine Initiative Ltd (GE),Capture,2022,2024,2027,,Planned,,,,Power and heat,Dedicated storage,Athabasca Banks Carbon Hub (ALB),North America
Morecambe Net Zero Cluster,615,United Kingdom,Spirit Energy (Centrica and Stadtwerke Mucnchen GmbH joint venture),T&S,2023,,2030,,Planned,,5,5,T&S,Dedicated storage,Morecambe Net Zero Cluster,Europe
Mote biomass-to-hydrogen plant (CA),280,United States,"Mote, CarbonCure, Fluor Corporation, SungasRenewables",Capture,2021,,2025,,Planned,,0.14,0.14,Hydrogen or ammonia,Mixed,,North America
"Mote biomass-to-hydrogen plant, 2nd facility (CA)",829,United States,Mote,Capture,2023,,,,Planned,,0.45,0.45,Hydrogen or ammonia,Dedicated storage,,North America
Motor Oil Hellas (Iris),1140,Greece,Motor Oil,Capture,2023,,2029,,Planned,,0.495,0.495,Other fuel transformation,Dedicated storage,,Europe
MoU ADNOC ENEOS Mitsui Ruwais Industrial Area,463,United Arab Emirates,"ADNOC, ENEOS, Mitsui",Capture,2022,,,,Planned,,0.46,0.46,Chemicals,Unknown/unspecified,,Middle East
Mountaineer Gigasystem (WV) Phase 1,840,United States,"Fidelis new energy, State of West Virginia, MCDA, West Virginia University, West Virginia DNR,WVGES, Babcock & Wilcox, Topsoe, Battelle Carbon Services (Storage)",Capture,2023,,2028,,Planned,1,,1.7,Hydrogen or ammonia,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Mountaineer Gigasystem (WV) Phase 2,933,United States,"Fidelis new energy, State of West Virginia, MCDA, West Virginia University, West Virginia DNR,WVGES, Babcock & Wilcox, Topsoe, Battelle Carbon Services (Storage)",Capture,2023,,,,Planned,2,,1.7,Hydrogen or ammonia,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Mountaineer Gigasystem (WV) Phase 3,934,United States,"Fidelis new energy, State of West Virginia, MCDA, West Virginia University, West Virginia DNR,WVGES, Babcock & Wilcox, Topsoe, Battelle Carbon Services (Storage)",Capture,2023,,,,Planned,3,,1.7,Hydrogen or ammonia,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Mountaineer Gigasystem (WV) Phase 4,935,United States,"Fidelis new energy, State of West Virginia, MCDA, West Virginia University, West Virginia DNR,WVGES, Babcock & Wilcox, Topsoe, Battelle Carbon Services (Storage)",Capture,2023,,,,Planned,4,,1.7,Hydrogen or ammonia,Dedicated storage,"CO2NNECTION Central Appalachian Basin hub/Appalachian basin storage MoU (OH, PA, WV)",North America
Mt Simon Hub CCS Pipeline (IA),12,United States,"ADM, Wolf Carbon Solutions (Wolf Midstream)",Transport,2022,2024,,,Planned,,12,12,Transport,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
Multi-user Burrup CCUS hub and network (Karratha CCS Project),282,Australia,"Woodside, bp, Shell, Chevron, MIMI (50/50 Mitsubishi and Mitsui)",T&S,2022,,,,Planned,,,,T&S,Dedicated storage,Burrup CCUS hub,Australia and New Zealand
Mustang Station Carbon Capture (TX),283,United States,"Golden Spread Electric Cooperative,  University of Texas at Austin ",Full chain,2019,,2025,,Planned,,1.5,1.5,Power and heat,Dedicated storage,,North America
Nagoya port cluster (capture sources under evaluation),858,Japan-Indonesia,"BP, Chubu Electric",T&S,2023,,,,Planned,,,,T&S,Unknown/unspecified,Nagoya port cluster,Other Asia Pacific
Nairyah1 and Nairyah 2 plants,1016,Saudi Arabia,SPPC,Capture,2024,,,,Planned,,,2.861,Power and heat,Unknown/unspecified,,Middle East
Nanhai petrochemical plant-Capture for Daya bay CCS (Guangdong),443,People's Republic of China,Shell,Capture,2022,,,,Planned,,,,Chemicals,Dedicated storage,Daya bay CCS Hub,Other Asia Pacific
Navigator Terminal train,774,United Kingdom,"Enfinium, Navigator CO2, Bechtel (feasibility)",Transport,2023,,,,Planned,,,,Transport,Dedicated storage,Northern Endurance Partnership,Europe
Neau Lime plant,1115,France,Lhoist,Capture,2023,2027,2030,,Planned,,,1.6,Cement,Dedicated storage,GoCO2,Europe
Net Power Odessa gas plant (TX),543,United States,"Net Power, Oxy low carbon ventures (Occidental) (T&S), 8 Rivers capital (funding)",Capture,2022,,2026,,Planned,,,,Power and heat,Dedicated storage,,North America
Net Zero Teesside Power,287,United Kingdom,"BP, Equinor",Capture,2018,2024,2027,,Planned,,2,2,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
